window_id,timestamp,version,drift
0,1999-12-31 23:00:00,1,0
1,2000-02-14 23:00:00,1,0
2,2000-03-29 22:00:00,1,0
3,2000-05-22 22:00:00,1,0
4,2000-06-15 22:00:00,1,0
5,2000-07-02 22:00:00,1,0
6,2000-07-20 22:00:00,1,0
7,2000-08-07 22:00:00,1,0
8,2000-08-27 22:00:00,1,0
9,2000-10-08 22:00:00,1,0
10,2000-12-14 23:00:00,1,0
11,2001-03-10 23:00:00,1,0
12,2001-05-17 22:00:00,1,0
13,2001-06-19 22:00:00,1,0
14,2001-07-13 22:00:00,1,0
15,2001-08-01 22:00:00,1,0
16,2001-08-17 22:00:00,1,0
17,2001-09-18 22:00:00,1,0
18,2001-11-19 23:00:00,1,1
19,2002-02-23 23:00:00,0,0
20,2002-05-05 22:00:00,0,0
21,2002-06-12 22:00:00,0,0
22,2002-07-06 22:00:00,0,0
23,2002-07-27 22:00:00,0,1
24,2002-08-15 22:00:00,1,0
25,2002-09-17 22:00:00,1,0
26,2002-12-08 23:00:00,1,0
27,2003-03-11 23:00:00,1,0
28,2003-05-26 22:00:00,1,1
29,2003-07-08 22:00:00,0,0
30,2003-08-10 22:00:00,0,0
31,2003-09-16 22:00:00,0,0
32,2004-02-27 23:00:00,0,0
33,2004-05-22 22:00:00,0,0
34,2004-07-02 22:00:00,0,0
35,2004-07-16 22:00:00,0,0
36,2004-07-30 22:00:00,0,0
37,2004-08-15 22:00:00,0,0
38,2004-09-03 22:00:00,0,0
39,2004-10-29 22:00:00,0,0
40,2004-12-15 23:00:00,0,0
41,2005-03-02 23:00:00,0,0
42,2005-04-06 22:00:00,0,0
43,2005-05-15 22:00:00,0,0
44,2005-07-07 22:00:00,0,0
45,2005-07-22 22:00:00,0,0
46,2005-08-11 22:00:00,2,0
47,2005-08-31 22:00:00,2,0
48,2005-10-17 22:00:00,0,0
49,2005-11-26 23:00:00,0,0
50,2006-01-11 23:00:00,0,0
51,2006-03-12 23:00:00,0,0
52,2006-04-29 22:00:00,0,0
53,2006-05-28 22:00:00,0,0
54,2006-06-20 22:00:00,0,0
55,2006-07-12 22:00:00,0,0
56,2006-07-28 22:00:00,0,0
57,2006-08-14 22:00:00,0,0
58,2006-09-08 22:00:00,0,0
59,2006-11-24 23:00:00,0,0
60,2007-01-20 23:00:00,0,1
61,2007-03-24 23:00:00,2,0
62,2007-05-19 22:00:00,2,0
63,2007-06-27 22:00:00,2,0
64,2007-07-19 22:00:00,2,0
65,2007-08-09 22:00:00,2,0
66,2007-09-12 22:00:00,2,0
67,2007-11-28 23:00:00,2,0
68,2008-02-15 23:00:00,2,0
69,2008-04-30 22:00:00,2,0
70,2008-06-20 22:00:00,2,0
71,2008-07-12 22:00:00,0,0
72,2008-08-06 22:00:00,2,0
73,2008-08-22 22:00:00,2,0
74,2008-09-30 22:00:00,2,0
75,2008-11-22 23:00:00,0,0
76,2009-01-31 23:00:00,0,0
77,2009-03-21 23:00:00,0,0
78,2009-05-05 22:00:00,2,0
79,2009-06-10 22:00:00,2,0
80,2009-07-02 22:00:00,2,0
81,2009-07-20 22:00:00,2,0
82,2009-08-09 22:00:00,2,0
83,2009-09-04 22:00:00,2,0
84,2009-12-11 23:00:00,2,0
85,2010-04-05 22:00:00,0,0
86,2010-06-09 22:00:00,2,0
87,2010-07-09 22:00:00,2,0
88,2010-08-03 22:00:00,2,1
89,2010-10-11 22:00:00,0,0
90,2011-03-02 23:00:00,0,0
91,2011-05-03 22:00:00,0,0
92,2011-06-14 22:00:00,0,0
93,2011-07-15 22:00:00,0,0
94,2011-08-09 22:00:00,0,0
95,2011-08-29 22:00:00,0,0
96,2011-11-09 23:00:00,0,0
97,2012-05-28 22:00:00,0,0
98,2012-08-14 22:00:00,0,0
99,2012-12-18 23:00:00,0,0
